Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Managed + Burst,17,5,1.629,1038016512,0,2025-06-13 13:32:51
Managed + Burst,18,1,1.692,1058996224,0,2025-06-13 13:32:51
Managed + Burst,18,2,1.608,1079975936,0,2025-06-13 13:32:51
Managed + Burst,18,3,1.678,1100955648,0,2025-06-13 13:32:52
Managed + Burst,18,4,1.700,1021247488,0,2025-06-13 13:32:52
Managed + Burst,18,5,2.041,1042227200,0,2025-06-13 13:32:52
Managed + Burst,19,1,1.555,1063206912,0,2025-06-13 13:32:52
Managed + Burst,19,2,1.622,1084186624,0,2025-06-13 13:32:52
Managed + Burst,19,3,1.591,1105166336,0,2025-06-13 13:32:52
Managed + Burst,19,4,1.531,1126146048,0,2025-06-13 13:32:52
Managed + Burst,19,5,1.680,1147125760,0,2025-06-13 13:32:52
Managed + Burst,20,1,1.667,1050636288,0,2025-06-13 13:32:52
Managed + Burst,20,2,2.006,1071616000,0,2025-06-13 13:32:52
Managed + Burst,20,3,1.660,1092595712,0,2025-06-13 13:32:52
Managed + Burst,20,4,1.555,1113575424,0,2025-06-13 13:32:52
Managed + Burst,20,5,1.595,1134555136,0,2025-06-13 13:32:52
Managed + Burst,21,1,1.685,1155534848,0,2025-06-13 13:32:52
Managed + Burst,21,2,1.529,1176514560,0,2025-06-13 13:32:52
Managed + Burst,21,3,1.627,1080025088,0,2025-06-13 13:32:52
Managed + Burst,21,4,1.636,1101004800,0,2025-06-13 13:32:52
Managed + Burst,21,5,1.634,1121984512,0,2025-06-13 13:32:52
Managed + Burst,22,1,1.653,1142964224,0,2025-06-13 13:32:52
Managed + Burst,22,2,1.716,1163943936,0,2025-06-13 13:32:52
Managed + Burst,22,3,1.612,1184923648,0,2025-06-13 13:32:52
Managed + Burst,22,4,1.620,1205903360,0,2025-06-13 13:32:52
Managed + Burst,22,5,25.587,1226903552,0,2025-06-13 13:32:52
Managed + Burst,23,1,32.751,1247911936,0,2025-06-13 13:32:52
Managed + Burst,23,2,10.231,1117822976,1,2025-06-13 13:32:52
Managed + Burst,23,3,1.605,1138802688,0,2025-06-13 13:32:52
Managed + Burst,23,4,2.405,1159782400,0,2025-06-13 13:32:52
Managed + Burst,23,5,1.662,1180762112,0,2025-06-13 13:32:52
Managed + Burst,24,1,1.729,1201741824,0,2025-06-13 13:32:52
Managed + Burst,24,2,1.637,1222721536,0,2025-06-13 13:32:52
Managed + Burst,24,3,2.117,1243701248,0,2025-06-13 13:32:52
Managed + Burst,24,4,2.117,1147211776,0,2025-06-13 13:32:52
Managed + Burst,24,5,1.916,1168191488,0,2025-06-13 13:32:52
Managed + Burst,25,1,1.725,1189171200,0,2025-06-13 13:32:52
Managed + Burst,25,2,1.807,1210150912,0,2025-06-13 13:32:53
Managed + Burst,25,3,1.609,1231130624,0,2025-06-13 13:32:53
Managed + Burst,25,4,1.625,1252114432,0,2025-06-13 13:32:53
Managed + Burst,25,5,2.056,1273110528,0,2025-06-13 13:32:53
Managed + Burst,26,1,1.624,1176621056,0,2025-06-13 13:32:53
Managed + Burst,26,2,2.067,1197600768,0,2025-06-13 13:32:53
Managed + Burst,26,3,1.630,1218580480,0,2025-06-13 13:32:53
Managed + Burst,26,4,1.987,1239560192,0,2025-06-13 13:32:53
Managed + Burst,26,5,2.060,1260539904,0,2025-06-13 13:32:53
Managed + Burst,27,1,1.674,1281519616,0,2025-06-13 13:32:53
